Category,Subcategory,Location Name,Store ID,Address,Suite #,City,State,Zip Code,Phone,Hours,Website,Source,Supplier,Filtration Method,Size(s),Price,Category,Subcategory
,,CVS 09724,,911 Haven,,Rancho Cucamonga,CA,91730,,,,,,,,,,
,,Circle K Franchise 2655081,,29950 Murrieta Rd,,Sun City,CA,92586,,,,,,,,,,
,,Save Mart,,900 W. Henderson,,Porterville,CA,93257,,,,,,,,,,
,,Valu Plus 19,,315 Mission Rd,,San Fernando,CA,91340,,,,,,,,,,
,,R & K Coin Laundry,,5397 Orange,,Long Beach,CA,90805,,,,,,,,,,
,,Rite Aid 6532,,47985 Monroe St,,Indio,CA,92201,,,,,,,,,,
,,Marina Grocery,,25 S Milpitas Blvd,,Milpitas,CA,95035,,,,,,,,,,
,,Gana Water,,9295 Magnolia Avenue,Suite 110,Riverside,CA,92503,,,,,,,,,,
,,Medina Meat,,9161 N Winton Way,,Winton,CA,95388,,,,,,,,,,
,,Rite Aid 5940,,3207 Crow Canyon Pl,,San Ramon,CA,94583,,,,,,,,,,
,,CVS 09332,,1700 Mission Street,,Santa Cruz,CA,95060,,,,,,,,,,
,,Super California Market,,1875 E California Ave,,Bakersfield,CA,93307,,,,,,,,,,
,,Waterstop 037,,1221 E Carson Street,,Long Beach,CA,90807,,,,,,,,,,
,,Hillside Market & Deli,,448 N 6 Th Street,,Burbank,CA,91501,,,,,,,,,,
,,La Perla Market,,7681 South Santa Fe,,Huntington Park,CA,91788,,,,,,,,,,
,,Rite Aid 4203 6082,,7900 Florin Rd Suite E,,Sacramento,CA,95828,,,,,,,,,,
,,Lees Market And Liquor,,934 W 23 Rd St,,Los Angeles,CA,90007,,,,,,,,,,
,,Albertsons 6788,,730 Turquoise St,,San Diego,CA,92109,,,,,,,,,,
,,Dicks Market,,1119 N Lawrence Expressway,,Sunnyvale,CA,94089,,,,,,,,,,
,,Carniceria Rosita,,1297 N Main St,,Manteca,CA,95336,,,,,,,,,,
,,Fresh Market 1,,2090 E Canal Dr,,Turlock,CA,95380,,,,,,,,,,
,,CVS 09873,,1300 Madonna Rd.,,San Luis Obispo,CA,93401,,,,,,,,,,
,,Grove Market,,7977 Broadway,,Lemon Grove,CA,91945,,,,,,,,,,
,,7 Eleven 20785,,2400 Highland Ave,,National City,CA,91950,,,,,,,,,,
,,G & G Market 02,,701 Sonoma Mountain Parkway,,Petaluma,CA,94954,,,,,,,,,,
,,Save Mart,,170 East Cross,,Tulare,CA,93274,,,,,,,,,,
,,Stater Brothers,,10370 Arlington Ave.,,Riverside,CA,92505,,,,,,,,,,
,,Chino Meat Market Corp,,12985 13 Th Street,,Chino,CA,91710,,,,,,,,,,
,,Ralphs,,4033 Ball Road,,Cypress,CA,90630,,,,,,,,,,
,,Raleys 239,,7847 Lichen Dr,,Citrus Heights,CA,95621,,,,,,,,,,
,,Lucky,,2027 Camden Ave,,San Jose,CA,94066,,,,,,,,,,
,,Stater Brothers,,800 N. China Lake Blvd.,,Ridgecrest,CA,93555,,,,,,,,,,
,,Save Mart,,1700 High St.,,Delano,CA,93215,,,,,,,,,,
,,Big Lots # 2,,9340 Mira Mesa Blvd.,,San Diego,CA,92126,,,,,,,,,,
,,Vons 1670,,28751 Los Alisos Blvd,,Mission Viejo,CA,92691,,,,,,,,,,
,,Top Valu 03,,10819 Hawthorne Blvd,,Lennox,CA,90304,,,,,,,,,,
,,Hows Market 4,,30745 Pacific Coast Highway,,Malibu,CA,90265,,,,,,,,,,
,,Circle K 5203,,6290 Mission Blvd,,Rubidoux,CA,92509,,,,,,,,,,
,,Foxx Food Store,,524 W 65 Th St,,Los Angeles,CA,90044,,,,,,,,,,
,,Supermarket,,13401 Lambert Rd,,Whittier,CA,90605,,,,,,,,,,
,,Buy Low Warehouse Market,,4700 Cherry Ave,,Long Beach,CA,90807,,,,,,,,,,
,,Los Alamos Market,,405 Bell St,,Los Alamos,CA,93440,,,,,,,,,,
,,Stater Brothers,,78210 Varner Road,,Palm Desert,CA,92211,,,,,,,,,,
,,Save Mart,,1616 E. March Lane,,Stockton,CA,95207,,,,,,,,,,
,,CVS 09134,,49980 Jefferson St,,Indio,CA,92201,,,,,,,,,,
,,Discount Market,,4233 W Century Blvd,,Inglewood,CA,90304,,,,,,,,,,
,,La Sierra Meat Market,,12800 Paramount Blvd,,Paramount,CA,90242,,,,,,,,,,
,,Los Amigos Market,,1805 Dairy Ave,,Corcoran,CA,93212,,,,,,,,,,
,,Union 76,,1080 Guadalupe Street,,Guadalupe,CA,93434,,,,,,,,,,
,,La Fiesta Grande Market,,343 Richmar Ave,,San Marcos,CA,92069,,,,,,,,,,
,,La Venadita Market,,22035 Main St.,,Carson,CA,90745,,,,,,,,,,
,,Ralphs,,26911 Trabuco Rd.,,Mission Viejo,CA,92691,,,,,,,,,,
,,Pacoima Gas,,13570 Van Nuys Blvd,,Pacoima,CA,91331,,,,,,,,,,
,,Diamond Water,,10818 Main Street,,Lamont,CA,93241,,,,,,,,,,
,,Vons 2254,,311 W. Los Feliz Blvd,,Glendale,CA,91204,,,,,,,,,,
,,Bellaire Cigarettes,,12643 Sherman Way #H2,,North Hollywood,CA,91605,,,,,,,,,,
,,Baja Springs,,1800 No Sunrise Way,,Palm Springs,CA,92262,,,,,,,,,,
,,CVS 09147,,4713 Quail Lakes Drive,,Stockton,CA,95207,,,,,,,,,,
,,7 Eleven,,698 H Street,,Chula Vista,CA,91910,,,,,,,,,,
,,Superior 123,,11202 S Crenshaw Blvd,,Inglewood,CA,90303,,,,,,,,,,
,,Neighbors Supermarket,,2004 Dairy Mart Rd Ste 105,,San Ysidro,CA,92173,,,,,,,,,,
,,San Luis Market,,3926 Ardmore Ave,,South Gate,CA,90280,,,,,,,,,,
,,Valero Gas Shop N Go,,11254 I Ave,,Hesperia,CA,92345,,,,,,,,,,
,,La Mexicana,,9735 Stephens St,,Delhi,CA,95315,,,,,,,,,,
,,Hn's Pure Water,,346 North Harbor Blvd,,La Habra,CA,90631,,,,,,,,,,
,,Carrillos Market,,635 East Holt Avenue,,Ontario,CA,91761,,,,,,,,,,
,,CVS 09672,,14503 Ramona,,Baldwin Park,CA,91706,,,,,,,,,,
,,Rite Aid 5678,,51101 Harrison St,,Coachella,CA,92236,,,,,,,,,,
,,Food 4 Less Kroger,,1150 N. Pepper Ave,,Colton,CA,92324,,,,,,,,,,
,,Ralphs,,3075 S. Archibald Bldg. C,,Ontario,CA,91761,,,,,,,,,,
,,Stater Brothers,,7770 Limonite Ave.,,Riverside,CA,92509,,,,,,,,,,
,,Lennox Market,,10804 S. Inglewood Ave,,Lennox,CA,90304,,,,,,,,,,
,,Jacks Git N Go,,105 Tulare Ave,,Tulare,CA,93274,,,,,,,,,,
,,Beverly Ranch Mercado Inc,,2930 W Beverly Blvd,,Los Angeles,CA,90057,,,,,,,,,,
,,San Fernando & Astoria,,12431 San Fernando Rd 1 A,,Sylmar,CA,91342,,,,,,,,,,
,,Big Lot,,19331 Soledad Canyon Rd,,Santa Clarita,CA,91351,,,,,,,,,,
,,Albertsons 6524,,12013 Central Ave,,Chino,CA,91709,,,,,,,,,,
,,Save Mart,,1835 Herndon Ave,,Clovis,CA,93611,,,,,,,,,,
,,Petrolink Inc 1,,23600 S El Camino Real,,San Clemente,CA,92629,,,,,,,,,,
,,7 Eleven,,1808 North Broadway,,Santa Maria,CA,93458,,,,,,,,,,
,,California Market,,1595 California St,,Mountain View,CA,94040,,,,,,,,,,
,,CVS 07001,,6500 Niles St,,Bakersfield,CA,93306,,,,,,,,,,
,,National Market,,651 Sutter Ave,,Modesto,CA,95351,,,,,,,,,,
,,San Gabriel Market,,13126 30 Ramona Blvd,,Baldwin Park,CA,91706,,,,,,,,,,
,,CVS 08589,,15286 Summit Ave,,Fontana,CA,92336,,,,,,,,,,
,,Ralphs,,5680 Mission Center Rd.,,San Diego,CA,92108,,,,,,,,,,
,,B & N Market,,4560 Durfree Ave,,Pico Rivera,CA,90660,,,,,,,,,,
,,Raleys 206,,367 W Main St,,Woodland,CA,95695,,,,,,,,,,
,,Shop Kwik,,1302 11 Th Street,,Reedley,CA,93654,,,,,,,,,,
,,Ralphs,,1005 W. Arrow Hwy,,San Dimas,CA,91773,,,,,,,,,,
,,CVS 03951,,305 S Hwy 101,,Solana Beach,CA,92075,,,,,,,,,,
,,Albertsons 6304,,1132 W. Branch,,Arroyo Grande,CA,93420,,,,,,,,,,
,,Wishy Wash 7,,2304 S San Pedro,,Los Angeles,CA,90011,,,,,,,,,,
,,7 Eleven 21036 (Franchise),,55277 29 Palms Hwy,,Yucca Valley,CA,92284,,,,,,,,,,
,,Wooley Market,,145 E Pleasant Valley Rd,,Oxnard,CA,93033,,,,,,,,,,
,,Circle K 2955 (Pcf),,10219 Mast Blvd,,Santee,CA,92071,,,,,,,,,,
,,Food 4 Less Kroger,,5100 N. Figueroa St.,,Highland Park,CA,90042,,,,,,,,,,
,,Grand Central,,317 S. Broadway,,Los Angeles,CA,90013,,,,,,,,,,
,,Sunco,,7006 El Cajon Blvd,,San Diego,CA,92115,,,,,,,,,,
,,Delanos Iga 44,,2040 Sir Francis,,Fairfax,CA,94930,,,,,,,,,,
,,Albertsons 6397,,6240 Foothill Blvd,,Tujunga,CA,91042,,,,,,,,,,
,,Bay Water X Press,,2850 San Bruno Avenue,,San Francisco,CA,94134,,,,,,,,,,
,,Piini Mini Mart,,1025 State Street,,Soledad,CA,93960,,,,,,,,,,
,,El Paisano Westley Market,,8629 N Hwy 33,,Westley,CA,95387,,,,,,,,,,
,,Circle K 3046,,12892 Newport,,Tustin,CA,92780,,,,,,,,,,
,,Henrys 188,,120 W Ontario Ave,,Corona,CA,92882,,,,,,,,,,
,,Woo Kyun Shin Investment Inc.,,8527 Alondra Blvd,Suite 170,Paramount,CA,90723,,,,,,,,,,
,,Rite Aid 5908,,20 E 18 Th St,,Antioch,CA,94509,,,,,,,,,,
,,Wishy Wash,,348 Arbor Vitae,,Inglewood,CA,90301,,,,,,,,,,
,,etst,,milpas,,Santa Barbara,CA,93105,,,,,,,,,,
,,Z Market,,3200 Mission Ave,,Oceanside,CA,92054,,,,,,,,,,
,,Grocery Outlet Berkley,,2001 Fourth St,,Berkley,CA,94710,,,,,,,,,,
,,Union 76,,6003 Woodman Ave,,Van Nuys,CA,91401,,,,,,,,,,
,,Los Mares Market,,434 Center St,,Healdsburg,CA,95448,,,,,,,,,,
,,Pacific Market,,1450 W Mission Rd,,San Marcos,CA,92069,,,,,,,,,,
,,Circle K 5743 (Pcf),,26871 Aliso Creek Rd,,Laguna Beach,CA,92656,,,,,,,,,,
,,Dollar Tree 2177,,100 North China Lake Blvd,,Ridgecrest,CA,93555,,,,,,,,,,
,,Carniceria La Plaza,,1055 Ventura St,,Fillmore,CA,93015,,,,,,,,,,
,,V's Pure Water,,15393 Brookhurst Street,,Westminster,CA,92683,,,,,,,,,,
,,Moskovith Coin Laundry,,7143 Sepulveda Blvd,,Van Nuys,CA,91405,,,,,,,,,,
,,Freds Liquor,,6301 S Broadway,,Los Angeles,CA,90003,,,,,,,,,,
,,Stater Brothers,,648 W. 4 Th St.,,San Bernardino,CA,92410,,,,,,,,,,
,,Mecca Travel Center,,90480 66 Th Ave,,Mecca,CA,92254,,,,,,,,,,
,,Purified Water And Ice,,2471 North 10 Th Avenue,,Hanford,CA,93230,,,,,,,,,,
,,Food 4 Less Kroger,,444 Broadway,,El Cajon,CA,92021,,,,,,,,,,
,,Mercado Y Carniceria,,1440 Weedpatch Hwy,,Bakersfield,CA,93307,,,,,,,,,,
,,CVS 09224,,25 070 Alessandro Blvd,,Moreno Valley,CA,92552,,,,,,,,,,
,,Ojai Laundry,,509 Ojai Ave,,Ojai,CA,93023,,,,,,,,,,
,,Cost Less Food Co 3,,255 W Main Street,,Turlock,CA,95380,,,,,,,,,,
,,Rite Aid 6395,,1500 Whitley Ave,,Corcoran,CA,93212,,,,,,,,,,
,,Sprouts Farmers Market 260,,4253 Woodruff Ave,,Lakewood,CA,90713,,,,,,,,,,
,,7 Eleven,,5202 El Cajon Blvd.,,San Diego,CA,92115,,,,,,,,,,
,,99 Ranch 17,,17713 Pioneer Blvd,,Artesia,CA,90701,,,,,,,,,,
,,Safeway 2512 1110,,1546 N Main Street,,Salinas,CA,93906,,,,,,,,,,
,,Stater Brothers,,29995 Canyon Hills Road,,Lake Elsinore,CA,92532,,,,,,,,,,
,,Las Grullas Market,,55 East D St,,Lemoore,CA,93245,,,,,,,,,,
,,Village Shopping,,3734 Constellation,,Lompoc,CA,93436,,,,,,,,,,
,,Thunder Market,,2810 Thunder Drive,,Oceanside,CA,92056,,,,,,,,,,
,,CVS 09726,,1411 Lincoln Blvd,,Santa Monica,CA,90401,,,,,,,,,,
,,CVS 05551,,109 S West St,,Tulare,CA,93274,,,,,,,,,,
,,Suisun Seafood Center,,303 Lawler Dr,,Suisun City,CA,95585,,,,,,,,,,
,,Albertsons 6530,,13650 C Bear Valley Rd,,Victorville,CA,92392,,,,,,,,,,
,,Vons 2513,,185 E17 Th St,,Costa Mesa,CA,92627,,,,,,,,,,
,,Raleys 420,,8391 Folsom Blvd,,Sacramento,CA,95826,,,,,,,,,,
,,Watermania & Juice Bar,,15029 Mulberry Drive,,Whitter,CA,90604,,,,,,,,,,
,,Vista Mini Mart,,1055 N Vista St,,West Hollywood,CA,90046,,,,,,,,,,
,,Tony's Market,,17389 Arrow Blvd,# B,Winchester,CA,92596,,,,,,,,,,
,,Madera Avenue Market,,416 S Madera Ave,,Madera,CA,93637,,,,,,,,,,
,,Rite Aid 5486,,11340 S. Crenshaw,,Inglewood,CA,90303,,,,,,,,,,
,,CVS 09574,,833 S Santa Fe Ave,,San Marcos,CA,92083,,,,,,,,,,
,,Super Mercado Del Sol,,950 Kansas Ave,,Modesto,CA,95351,,,,,,,,,,
,,Rainbow Liquor,,3200 W Ball Rd,,Anaheim,CA,92804,,,,,,,,,,
,,Wmsc #5192 (Ca0219),,5821 Antelope N Road,,Antelope,CA,95843,,,,,,,,,,
,,Lazy Acres (Ca0042 Dispenser #1),,302 Meigs Road,,Santa Barbara,CA,93102,,,,,,,,,,
,,El Toro Market 06,,533 East Main St,,San Jacinto,CA,92583,,,,,,,,,,
,,CVS 09674,,1050 Sunset Blvd,,Los Angeles,CA,90012,,,,,,,,,,
,,Save Mart,,130 W Stockton Rd,,Sonora,CA,95370,,,,,,,,,,
,,Sanborn Valero,,188 S Sanborn Rd,,Salinas,CA,93905,,,,,,,,,,
,,Water Warehouse,,8375 Monterey Street,Suite B,Gilroy,CA,95020,,,,,,,,,,
,,Big Bear Market,,2600 E 1 St Street,,Los Angeles,CA,90033,,,,,,,,,,
,,Jax Market 01,,11550 E Telegraph Road,,Santa Fe Springs,CA,90670,,,,,,,,,,
,,CVS 03025,,1385 Tavern Rd,,Alpine,CA,91901,,,,,,,,,,
,,Jons Market 15,,20150 Roscoe Blvd,,Canoga Park,CA,91306,,,,,,,,,,
,,Fast Mart,,612 Gray Ave,,Yuba City,CA,95991,,,,,,,,,,
,,Rite Aid 4205 6001,,571 Bellevue Road,,Atwater,CA,95301,,,,,,,,,,
,,Carniceria Los Altos,,2906 Madison Street,,Riverside,CA,92504,,,,,,,,,,
,,La Favorita 3,,1450 N Santa Fe Ave,,Vista,CA,92084,,,,,,,,,,
,,Carniceria Vasquez Meat Market,,1562 N Orange St,,Redlands,CA,92374,,,,,,,,,,
,,CVS 09667,,300 S. Diamond Bar Blvd,,Diamond Bar,CA,91765,,,,,,,,,,
,,Five Star Discount Market,,650 N Douglas Dr Ste 113 120,,Oceanside,CA,92054,,,,,,,,,,
,,Alta Dena Drive In Dairy,,6426 Mountain Ada Rd,,San Diego,CA,92111,,,,,,,,,,
,,Garden Liquor,,1479 W Washington,,Los Angeles,CA,90007,,,,,,,,,,
,,Stater Brothers,,37218 47 Th St. East,,Palmdale,CA,93550,,,,,,,,,,
,,Pacheco Water Store,,216 Alta Street,,Gonzales,CA,93926,,,,,,,,,,
,,CVS 09683,,5900 Telegraph,,Ventura,CA,93003,,,,,,,,,,
,,Rite Aid 5779,,11496 N. Ventura Ave,,Ojai,CA,93023,,,,,,,,,,
,,Circle K 5619,,1150 Pacific Coast Hwy,,Harbor City,CA,90710,,,,,,,,,,
,,Food 4 Less Kroger,,5420 W. Sunset Blvd,,Hollywood,CA,90027,,,,,,,,,,
,,San Simeon Lodge Mini Mart,,9520 Castillo Dr,,San Simeon,CA,93452,,,,,,,,,,
,,Speedy Mart,,826 N Milipas St,,Santa Barbara,CA,93103,,,,,,,,,,
,,Valley Hankook Market,,17643 Sherman Way,,Van Nuys,CA,91406,,,,,,,,,,
,,CVS 09927,,149 Plaza Drive,,Vallejo,CA,94590,,,,,,,,,,
,,Stater Brothers,,14212 Mulberry Dr.,,Whittier,CA,90604,,,,,,,,,,
,,Bobbies Best Buy,,1595 E Bellevue Rd,,Atwater,CA,95301,,,,,,,,,,
,,6th & Imperial,,601 Imperial,,Calexico,CA,92231,,,,,,,,,,
,,Orangeburg & Coffee,,1400 Coffee Road,,Modesto,CA,95350,,,,,,,,,,
,,Mi Rancho,,1383 Kooser Rd,,San Jose,CA,95118,,,,,,,,,,
,,CVS 09945,,825 1 St Street,,Gilroy,CA,95020,,,,,,,,,,
,,Stater Brothers,,12523 Alondra Blvd.,,Norwalk,CA,90650,,,,,,,,,,
,,Good Water,,120 North Montebello Blvd,,Montebello,CA,90640,,,,,,,,,,
,,Save Mart,,1035 Sperry Rd.,,Patterson,CA,95363,,,,,,,,,,
,,Sunbeam Lake Rv Resort,,1716 W Sunbeam Lake Dr,,El Centro,CA,92243,,,,,,,,,,
,,CVS 09560,,611 Brookhurst St,,Anaheim,CA,92804,,,,,,,,,,
,,Dollar Tree 2445,,9743 Baseline Rd,,Rancho Cucamonga,CA,91730,,,,,,,,,,
,,La Buena Market,,21942 Alessandro,,Moreno Valley,CA,92553,,,,,,,,,,
,,Tri County Produce,,335 S Milpas St,,Santa Barbara,CA,93140,,,,,,,,,,
,,Grocery Outlet 138,,2179 E 14 Th St,,San Leandro,CA,94577,,,,,,,,,,
,,Northgate Markets 27,,1058 3 Rd Ave,,Chula Vista,CA,91911,,,,,,,,,,
,,Vons 2066,,18439 Ventura Blvd,,Tarzana,CA,91356,,,,,,,,,,
,,Stater Brothers,,11225 Sierra Avenue,,Fontana,CA,92337,,,,,,,,,,
,,Short Stop Market 31,,11552 Glenoaks Blvd,,Pacoima,CA,91331,,,,,,,,,,
,,Torres Martinez Travel Center,,3095 W Hwy 86 South,,Salton Sea Beach,CA,92274,,,,,,,,,,
,,Cal Gas,,288 E Virginia St,,San Jose,CA,95112,,,,,,,,,,
,,Rite Aid 5807,,2501 Hwy 46,,Wasco,CA,93280,,,,,,,,,,
,,"Winco Foods, LLC #58",,1050 Old Alturas Road,,Redding,CA,96003,,,,,,,,,,
,,Raleys 330,,270 Sunset Ave,,Suisun City,CA,94585,,,,,,,,,,
,,Kings Market,,7907 Cajon Ave,,El Cajon,CA,92021,,,,,,,,,,
,,Rite Aid 5425,,334 S. Vermont,,Los Angeles,CA,90020,,,,,,,,,,
,,Ralphs,,5331 University Dr.,,Irvine,CA,92612,,,,,,,,,,
,,Coronado Meat Market,,4228 S Avalon Blvd,,Los Angeles,CA,90011,,,,,,,,,,
,,Food 4 Less Kroger,,3900 Chicago Ave,,Riverside,CA,92507,,,,,,,,,,
,,Sunshine Market,,255 N Tehama St,,Willows,CA,95988,,,,,,,,,,
,,Henrys Market Ind,,18409 S Avalon Blvd,,Carson,CA,90746,,,,,,,,,,
,,Mar Val Food Store 6,,6049 Front Street,,Georgetown,CA,95634,,,,,,,,,,
,,Glendale Produce,,730 S Glendale Ave,,Glendale,CA,91205,,,,,,,,,,
,,Ontario Farmers Market,,1701 S Mountain Ave,,Ontario,CA,91762,,,,,,,,,,
,,Cambridge & Lathrop,,16454 Cambridge Drive,,Lathrop,CA,95330,,,,,,,,,,
,,Newman Pioneer Drug,,1261 Main Street,,Newman,CA,95360,,,,,,,,,,
,,Los Compadrs Market,,161 South Main Street,,Lake Elsinore,CA,92565,,,,,,,,,,
,,Ralphs,,1969 West Avenue L,,Lancaster,CA,93534,,,,,,,,,,
,,Albertsons 6770,,10740 Westview Parkway,,San Diego,CA,92126,,,,,,,,,,
,,Food 4 Less 21 (Nugget),,3333 Coach Lane,,Cameron Park,CA,95682,,,,,,,,,,
,,Stater Brothers,,610 S. Brookhurst St.,,Anaheim,CA,92804,,,,,,,,,,
,,Nob Hill 624,,7076 Santa Teresa Rd,,San Jose,CA,95139,,,,,,,,,,
,,Watertek,,614 West Chapman Avenue,,Placentia,CA,92870,,,,,,,,,,
,,Stater Brothers,,17255 Main St.,,Hesperia,CA,92345,,,,,,,,,,
,,Dollar Tree 1918,,410 N Azusa,,Covina,CA,91722,,,,,,,,,,
,,Centro Mart 28,,7820 Brentwood Blvd,,Brentwood,CA,94513,,,,,,,,,,
,,Vons 2147,,8778 19 Th Street,,Rancho Cucamonga,CA,91730,,,,,,,,,,
,,Mi Favorita Market,,3385 California Way,,Napa,CA,94558,,,,,,,,,,
,,Fastrip 782,,800 Bear Mountain Blvd,,Arvin,CA,93203,,,,,,,,,,
,,CVS 09785,,2006 W Ave J,,Lancaster,CA,93534,,,,,,,,,,
,,Griffith Co (Price 0 Ok),,110 E 22 Nd Street,,San Pedro,CA,90731,,,,,,,,,,
,,Water To Drink,,804 B South Anaheim Blvd,,Anaheim,CA,92805,,,,,,,,,,
,,Friendly Liquor,,814 W Olive Ave,,Porterville,CA,93257,,,,,,,,,,
,,Landlord Rite Aid 5602,,1841 E 4 Th Street,,Ontario,CA,91764,,,,,,,,,,
,,Flower & Haley,,1324 Flower St,,Bakersfield,CA,93305,,,,,,,,,,
,,Raleys 447,,4650 Natomas Blvd,,Sacramento,CA,95835,,,,,,,,,,
,,La Barata Market,,1296 N Main St,,Salinas,CA,93906,,,,,,,,,,
,,Safeway 2512 1232,,530 Canal Street,,King City,CA,93930,,,,,,,,,,
,,Rite Aid 4202 5988,,1550 Hamilton Avenue,,San Jose,CA,95125,,,,,,,,,,
,,Pacos Service,,847 W Florence Ave,,Watts,CA,90044,,,,,,,,,,
,,Wmsc #5096 (Ca0220),,34500 Monterey Ave,,Palm Desert,CA,92260,,,,,,,,,,
,,Vons 2371,,17390 Main Street,,Hesperia,CA,92345,,,,,,,,,,
,,Kings Market,,400 El Camino Ave,,Sacramento,CA,95815,,,,,,,,,,
,,Mi Pueblo 01,,20812 Hesperian Blvd,,Hayward,CA,94541,,,,,,,,,,
,,G & M Oil 049,,401 N Grand Ave,,Santa Ana,CA,92701,,,,,,,,,,
,,El Rinconcito,,301 E Pine St,,Lodi,CA,95240,,,,,,,,,,
,,Cali Mex Deli,,711 1/2 Kern Avenue,,Los Angeles,CA,90022,,,,,,,,,,
,,Quality Markets,,760 N Lemon St,,Anaheim,CA,92805,,,,,,,,,,
,,Double Discount Store,,700 E 1 St St,,Santa Ana,CA,92701,,,,,,,,,,
,,Safeway 2506 1108,,1750 Miramonte Rd,,Mountain View,CA,94040,,,,,,,,,,
,,Centro Mart 37,,3110 Main Street Ste 250,,Oakley,CA,94561,,,,,,,,,,
,,La Superior,,4940 Stockton Blvd,,Sacramento,CA,95820,,,,,,,,,,
,,Bel Air 510,,1540 W El Camino,,Sacramento,CA,95833,,,,,,,,,,
,,Pats Liquor,,5096 Voltaire Street,,San Diego,CA,92107,,,,,,,,,,
,,4 U Market & Liquor,,7757 Katella Ave,,Stanton,CA,90680,,,,,,,,,,
,,"Nc Queen, Inc.",,8515 Foothill Blvd,,Sunland,CA,91406,,,,,,,,,,
,,Q Market & Produce,,17261 Vanowen St,,Van Nuys,CA,91406,,,,,,,,,,
,,Woori Market,,13321 Artesia,,Cerritos,CA,90703,,,,,,,,,,
,,Eagle Petro Pacoima,,13812 Van Nuys Blvd,,Pacoima,CA,91331,,,,,,,,,,
,,Carnival Supermarket,,3560 Ashford,,San Diego,CA,92111,,,,,,,,,,
,,Pavilion 2228,,1213 Fair Oaks Ave,,South Pasadena,CA,91030,,,,,,,,,,
,,Vons 2516,,4848 Valley View Blvd,,Yorba Linda,CA,92886,,,,,,,,,,
,,Am/Pm 82964,,1001 W Artesia Blvd,,Gardena,CA,90248,,,,,,,,,,
,,Happy Water,,1947 East 4 Th Street,,Ontario,CA,91764,,,,,,,,,,
,,Model Liquor,,20008 Meekland Ave,,Hayward,CA,94541,,,,,,,,,,
,,Albertsons 6526,,24251 Muirland,,Lake Forest,CA,92630,,,,,,,,,,
,,Safeway 2507 0697,,1980 Tice Valley Road,,Walnut Creek,CA,94595,,,,,,,,,,
,,Rite Aid 5999,,230 S Main Street,,Angels Camp,CA,95222,,,,,,,,,,
,,Norwalk Christian Towers,,14141 Clarkdale Ave,,Tustin,CA,90650,,,,,,,,,,
,,Viva Meat Market,,281 E Newburgh St,,Azusa,CA,91702,,,,,,,,,,
,,N St. & Clyde Fannon,,405 N Street,,Firebaugh,CA,93622,,,,,,,,,,
,,Saviers & Pleasant Valley,,231 W. Pleasant Valley Rd,,Oxnard,CA,93033,,,,,,,,,,
,,CVS 09611,,19424 W Soledad Canyon,,Canyon Country,CA,91351,,,,,,,,,,
,,Rite Aid 5538,,2647 W Foothill,,La Crescenta,CA,91214,,,,,,,,,,
,,Keiths Iga,,76201 Covelo Rd,,Covelo,CA,95428,,,,,,,,,,
,,Albertsons 6305,,19301 Saticoy,,Reseda,CA,91335,,,,,,,,,,
,,Lucy's Laundry Mart,,3330 West Florence Avenue,,Los Angeles,CA,90043,,,,,,,,,,
,,Pch Beer & Wine,,340 W Pacific Coast Hwy,,Long Beach,CA,90806,,,,,,,,,,
,,Ralphs,,10081 Adams Ave,,Huntington Beach,CA,92646,,,,,,,,,,
,,Beverly Hills Laundry,,2419 South San Perdo,,Los Angeles,CA,90011,,,,,,,,,,
,,G & M Oil 126,,1212 W Foothill Blvd,,Upland,CA,91786,,,,,,,,,,
,,Ramona Produce,,794 N. Ramona Blvd,,San Jacinto,CA,92583,,,,,,,,,,
,,Albertsons 6110,,7201 Yorktown Ave,,Huntington Beach,CA,92648,,,,,,,,,,
,,Marias Market,,443 Dutton Ave,,Santa Rosa,CA,95407,,,,,,,,,,
,,CVS 9588,,15103 Hawthorne Blvd,,Lawndale,CA,90260,,,,,,,,,,
,,Rigos Deli Market,,448 W Foothill Blvd,,Monrovia,CA,91016,,,,,,,,,,
,,CVS 09811,,1871 El Camino Real,,Burlingame,CA,94010,,,,,,,,,,
,,Extreme Pure Water,,1435 Bird Avenue,,San Jose,CA,95125,,,,,,,,,,
,,Mar Val Food Store 4,,55 Hwy 26,,Valley Springs,CA,95252,,,,,,,,,,
,,Circle K 5607 (Pcf),,8600 S Figueroa St,,Los Angeles,CA,90003,,,,,,,,,,
,,Novillos Market,,620 Redondo Dr,,Oceanside,CA,92057,,,,,,,,,,
,,Beach City Market,,2801 S Pacific Ave,,San Pedro,CA,90731,,,,,,,,,,
,,Vons 2370,,3993 Governor Drive,,San Diego,CA,92122,,,,,,,,,,
,,Johnny Quick Food,,5993 E Belmont,,Fresno,CA,93727,,,,,,,,,,
,,Ralphs,,21431 Devonshire St.,,Chatsworth,CA,91311,,,,,,,,,,
,,Just For You Laundry 2,,7551 Tujunga Ave,,North Hollywood,CA,91605,,,,,,,,,,
,,Vons 3076,,1820 Ximeno Ave,,Long Beach,CA,90815,,,,,,,,,,
,,Oasis Market & Truck Stop,,23215 Ave 56,,Ducor,CA,93218,,,,,,,,,,
,,Top Valu 14,,4831 Whittier Blvd,,East Los Angeles,CA,90022,,,,,,,,,,
,,Capri Liquors,,100 Perkins Ave,,Mc Farland,CA,93250,,,,,,,,,,
